battery_id,cycle,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,time,capacity
B0005,121,3.4956,-1.7573,34.0676,0.0,0.0,2955.44,1.438255
B0005,122,3.4939,-1.7428,33.7517,0.0,0.0,2937.62,1.417355
B0005,123,3.4916,-1.7353,33.4648,0.0,0.0,2929.08,1.406982
B0005,124,3.4886,-1.7344,33.4021,0.0,0.0,2918.38,1.401204
B0005,125,3.4869,-1.728,33.4107,0.0,0.0,2919.81,1.396701
B0005,126,3.4855,-1.7327,33.3898,0.0,0.0,2900.42,1.391285
B0005,127,3.4839,-1.7261,33.37,0.0,0.0,2901.38,1.386229
B0005,128,3.4832,-1.7195,33.2722,0.0,0.0,2901.19,1.380437
B0005,129,3.4836,-1.7186,33.2224,0.0,0.0,2891.64,1.375236
B0005,130,3.4802,-1.7177,33.2621,0.0,0.0,2882.91,1.370513
B0005,131,3.4785,-1.7177,33.312,0.0,0.0,2883.26,1.370509
B0005,132,3.4786,-1.711,33.2529,0.0,0.0,2882.97,1.364736
B0005,133,3.4825,-1.7184,33.7451,0.0,0.0,2891.66,1.375392
B0005,134,3.4887,-1.726,33.8884,0.0,0.0,2901.25,1.386112
B0005,135,3.4859,-1.712,33.7354,0.0,0.0,2891.7,1.36985
B0005,136,3.4788,-1.711,33.5913,0.0,0.0,2883.02,1.364783
B0005,137,3.4813,-1.7034,33.3237,0.0,0.0,2873.45,1.354322
B0005,138,3.4804,-1.7036,33.692,0.0,0.0,2874.03,1.354642
B0005,139,3.4781,-1.7035,33.8876,0.0,0.0,2874.23,1.354704
B0005,140,3.4766,-1.7023,33.6731,0.0,0.0,2864.98,1.349315
B0005,141,3.4734,-1.7014,33.412,0.0,0.0,2855.09,1.344189
B0005,142,3.4726,-1.695,33.2993,0.0,0.0,2855.62,1.338991
B0005,143,3.4734,-1.6951,33.5998,0.0,0.0,2855.59,1.338915
B0005,144,3.4755,-1.6938,33.6196,0.0,0.0,2847.44,1.334007
B0005,145,3.4723,-1.6869,33.3945,0.0,0.0,2847.36,1.328644
B0005,146,3.4714,-1.6861,33.1673,0.0,0.0,2837.33,1.323171
B0005,147,3.4726,-1.6796,33.1096,0.0,0.0,2837.28,1.318169
B0005,148,3.4738,-1.6798,33.465,0.0,0.0,2838.51,1.318466
B0005,149,3.4701,-1.6852,33.4426,0.0,0.0,2828.33,1.318293
B0005,150,3.4675,-1.6864,33.0379,0.0,0.0,2838.26,1.323872
B0005,151,3.4768,-1.7158,33.4949,0.0,0.0,2864.55,1.360122
B0005,152,3.4759,-1.7007,33.4914,0.0,0.0,2846.39,1.339531
B0005,153,3.4758,-1.6928,33.3298,0.0,0.0,2837.97,1.329029
B0005,154,3.4747,-1.6861,33.273,0.0,0.0,2838.16,1.323674
B0005,155,3.4723,-1.685,33.2299,0.0,0.0,2829.84,1.318634
B0005,156,3.4729,-1.6785,33.2086,0.0,0.0,2829.62,1.313475
B0005,157,3.4696,-1.6839,33.2361,0.0,0.0,2819.44,1.313202
B0005,158,3.47,-1.6774,33.1866,0.0,0.0,2819.58,1.307796
B0005,159,3.4708,-1.6764,33.1741,0.0,0.0,2810.67,1.303033
B0005,160,3.4681,-1.6763,33.254,0.0,0.0,2811.49,1.303357
B0005,161,3.4649,-1.6818,33.3198,0.0,0.0,2802.42,1.30341
B0005,162,3.4679,-1.6751,33.3377,0.0,0.0,2801.62,1.297887
B0005,163,3.464,-1.6754,33.2908,0.0,0.0,2802.03,1.298074
B0005,164,3.4665,-1.6745,33.2757,0.0,0.0,2793.39,1.293464
B0005,165,3.4685,-1.6674,33.3207,0.0,0.0,2793.39,1.288003
B0005,166,3.4668,-1.6675,33.3731,0.0,0.0,2792.49,1.287453
B0005,167,3.4711,-1.6889,33.7135,0.0,0.0,2802.02,1.309015
B0005,168,3.4755,-1.6979,33.8653,0.0,0.0,2820.39,1.325079
B0006,1,3.5569,-1.9905,32.1428,0.0,0.0,3690.23,2.035338
B0006,2,3.5615,-1.9903,32.2931,0.0,0.0,3672.34,2.02514
B0006,3,3.5668,-1.9899,32.2441,0.0,0.0,3651.64,2.013326
B0006,4,3.5688,-1.9896,32.1471,0.0,0.0,3631.56,2.013285
B0006,5,3.564,-1.9895,32.0669,0.0,0.0,3629.17,2.000528
B0006,6,3.5736,-1.9901,32.0345,0.0,0.0,3652.28,2.013899
B0006,7,3.5711,-1.9901,32.1116,0.0,0.0,3650.83,2.013101
B0006,8,3.5682,-1.9891,32.1126,0.0,0.0,3572.45,1.96879
B0006,9,3.5693,-1.9892,32.0357,0.0,0.0,3550.59,1.968166
B0006,10,3.5634,-1.9892,31.9953,0.0,0.0,3551.25,1.957231
B0006,11,3.5667,-1.9891,31.8741,0.0,0.0,3530.25,1.945599
B0006,12,3.5687,-1.9888,32.121,0.0,0.0,3491.02,1.934751
B0006,13,3.5692,-1.9887,32.1102,0.0,0.0,3470.28,1.92328
B0006,14,3.5659,-1.9887,31.9891,0.0,0.0,3470.0,1.91189
B0006,15,3.5612,-1.9888,31.8788,0.0,0.0,3450.3,1.901067
B0006,16,3.5579,-1.9886,31.7675,0.0,0.0,3429.41,1.889199
B0006,17,3.5628,-1.9885,31.7899,0.0,0.0,3409.48,1.878278
B0006,18,3.5592,-1.9883,31.8288,0.0,0.0,3390.42,1.86757
B0006,19,3.5581,-1.9775,31.8904,0.0,0.0,3390.28,1.867589
B0006,20,3.5659,-1.9892,31.5118,0.0,0.0,3591.73,1.979627
B0006,21,3.5708,-1.989,31.8745,0.0,0.0,3552.3,1.95755
B0006,22,3.5667,-1.9887,31.5391,0.0,0.0,3531.58,1.945815
B0006,23,3.5668,-1.9885,31.2209,0.0,0.0,3492.91,1.924246
B0006,24,3.5711,-1.9886,31.119,0.0,0.0,3511.59,1.945981
B0006,25,3.5666,-1.9881,31.0332,0.0,0.0,3431.94,1.901408
B0006,26,3.5527,-1.9773,31.0012,0.0,0.0,3431.12,1.878674
B0006,27,3.5561,-1.9772,30.9214,0.0,0.0,3412.41,1.868306
B0006,28,3.5505,-1.966,30.9294,0.0,0.0,3410.69,1.856024
B0006,29,3.546,-1.9446,31.0081,0.0,0.0,3410.72,1.8452
B0006,30,3.5543,-1.9769,30.9678,0.0,0.0,3392.72,1.857229
B0006,31,3.5559,-1.9998,31.101,0.0,0.0,3470.67,1.924776
B0006,32,3.5537,-1.9884,31.3074,0.0,0.0,3414.11,1.882232
B0006,33,3.5453,-1.9771,31.1313,0.0,0.0,3395.22,1.855277
B0006,34,3.5384,-1.9657,30.8287,0.0,0.0,3386.0,1.839251
B0006,35,3.5298,-1.9542,30.7615,0.0,0.0,3368.19,1.81854
B0006,36,3.5301,-1.9491,31.3031,0.0,0.0,3368.27,1.813477
B0006,37,3.5249,-1.9374,31.0643,0.0,0.0,3358.72,1.797102
B0006,38,3.5191,-1.9313,30.9665,0.0,0.0,3339.5,1.781005
B0006,39,3.5152,-1.9254,30.8265,0.0,0.0,3331.26,1.771013
B0006,40,3.514,-1.9198,31.0808,0.0,0.0,3321.19,1.760471
B0006,41,3.5141,-1.9087,31.6943,0.0,0.0,3321.84,1.750291
B0006,42,3.5096,-1.9028,31.8756,0.0,0.0,3311.83,1.739493
B0006,43,3.5111,-1.9093,31.5433,0.0,0.0,3327.39,1.754677
B0006,44,3.5159,-1.9306,31.421,0.0,0.0,3312.08,1.765939
B0006,45,3.5059,-1.9071,31.1584,0.0,0.0,3293.17,1.733789
B0006,46,3.501,-1.8954,31.1566,0.0,0.0,3275.33,1.713326
B0006,47,3.4974,-1.8893,31.2066,0.0,0.0,3265.02,1.702408
B0006,48,3.5389,-1.9819,33.6117,0.0,0.0,3328.94,1.823719
B0006,49,3.5327,-1.9653,32.8563,0.0,0.0,3329.27,1.808128
B0006,50,3.5212,-1.9471,32.211,0.0,0.0,3301.58,1.775761
B0006,51,3.5093,-1.9242,31.9651,0.0,0.0,3283.56,1.744741
B0006,52,3.5072,-1.9124,31.7448,0.0,0.0,3275.12,1.729207
B0006,53,3.5009,-1.895,31.8766,0.0,0.0,3265.66,1.708109
B0006,54,3.4973,-1.8837,32.2429,0.0,0.0,3266.09,1.697595
B0006,55,3.4929,-1.8717,32.0731,0.0,0.0,3257.59,1.682063
B0006,56,3.4887,-1.8655,32.0301,0.0,0.0,3248.59,1.671477
B0006,57,3.4823,-1.8593,31.9849,0.0,0.0,3238.77,1.660759
B0006,58,3.4776,-1.8482,32.2368,0.0,0.0,3240.14,1.651121
B0006,59,3.4787,-1.8416,32.561,0.0,0.0,3230.11,1.640135
B0006,60,3.474,-1.8298,32.4898,0.0,0.0,3229.78,1.6292
B0006,61,3.4718,-1.8171,32.4261,0.0,0.0,3212.47,1.60885
B0006,62,3.4632,-1.8112,32.2998,0.0,0.0,3213.22,1.603524
B0006,63,3.4635,-1.8113,32.6108,0.0,0.0,3203.58,1.598971
B0006,64,3.4602,-1.8038,32.257,0.0,0.0,3195.12,1.587627
B0006,65,3.4626,-1.7982,32.4719,0.0,0.0,3195.31,1.582972
B0006,66,3.4537,-1.7858,32.4022,0.0,0.0,3186.3,1.567138
B0006,67,3.4514,-1.7851,32.3099,0.0,0.0,3176.44,1.561345
B0006,68,3.4508,-1.7786,32.3544,0.0,0.0,3167.59,1.551171
B0006,69,3.4461,-1.7728,32.4731,0.0,0.0,3167.72,1.540674
B0006,70,3.4418,-1.7602,32.5233,0.0,0.0,3159.08,1.525314
B0006,71,3.445,-1.7653,32.5183,0.0,0.0,3148.83,1.530157
B0006,72,3.4412,-1.7593,32.5437,0.0,0.0,3149.09,1.524657
B0006,73,3.4436,-1.7526,32.5622,0.0,0.0,3140.55,1.514549
B0006,74,3.4399,-1.7517,32.5898,0.0,0.0,3131.62,1.509392
B0006,75,3.436,-1.751,32.5709,0.0,0.0,3121.91,1.503997
B0006,76,3.4363,-1.7389,32.5379,0.0,0.0,3122.12,1.49352
B0006,77,3.4305,-1.7386,32.6565,0.0,0.0,3121.67,1.487632
B0006,78,3.4417,-1.7871,33.1808,0.0,0.0,3120.86,1.530288
B0006,79,3.4355,-1.7613,32.7122,0.0,0.0,3103.83,1.504076
B0006,80,3.4272,-1.7546,32.5439,0.0,0.0,3095.09,1.488759
B0006,81,3.4308,-1.7364,32.6655,0.0,0.0,3095.78,1.478278
B0006,82,3.4309,-1.7372,33.1609,0.0,0.0,3094.33,1.47846
B0006,83,3.432,-1.7358,33.4144,0.0,0.0,3086.53,1.473215
B0006,84,3.4269,-1.7297,33.3542,0.0,0.0,3085.62,1.467516
B0006,85,3.422,-1.7279,33.1363,0.0,0.0,3067.2,1.451629
B0006,86,3.4203,-1.7269,32.9224,0.0,0.0,3058.16,1.451924
B0006,87,3.4248,-1.7212,33.2034,0.0,0.0,3058.81,1.447148
B0006,88,3.4235,-1.7211,33.534,0.0,0.0,3058.58,1.446854
B0006,89,3.4247,-1.7201,33.5768,0.0,0.0,3049.33,1.441674
B0006,90,3.4507,-1.821,33.2241,0.0,0.0,3177.22,1.593587
B0006,91,3.448,-1.8214,33.3708,0.0,0.0,3082.94,1.54639
B0006,92,3.4399,-1.7899,33.4337,0.0,0.0,3074.27,1.514706
B0006,93,3.4341,-1.7769,33.2868,0.0,0.0,3066.0,1.498979
B0006,94,3.4326,-1.764,33.1435,0.0,0.0,3056.44,1.483111
B0006,95,3.4271,-1.7572,33.1102,0.0,0.0,3048.22,1.472966
B0006,96,3.4273,-1.7503,33.1899,0.0,0.0,3039.22,1.46276
B0006,97,3.4235,-1.744,33.2627,0.0,0.0,3039.05,1.451836
B0006,98,3.4221,-1.7369,33.3,0.0,0.0,3030.38,1.446867
B0006,99,3.4219,-1.736,33.3166,0.0,0.0,3021.0,1.44138
B0006,100,3.4196,-1.7297,33.3915,0.0,0.0,3021.75,1.431211
B0006,101,3.4175,-1.7288,33.4152,0.0,0.0,3012.26,1.426025
B0006,102,3.4198,-1.7217,33.3969,0.0,0.0,3002.64,1.420488
B0006,103,3.4171,-1.7228,33.7373,0.0,0.0,3012.0,1.420701
B0006,104,3.4305,-1.7487,34.0897,0.0,0.0,3020.11,1.452256
B0006,105,3.4251,-1.7345,33.9987,0.0,0.0,3002.17,1.431558
B0006,106,3.4171,-1.7272,33.9074,0.0,0.0,2992.7,1.415016
B0006,107,3.4175,-1.7305,33.7052,0.0,0.0,2964.47,1.409731
B0006,108,3.4182,-1.7141,33.7459,0.0,0.0,2983.38,1.404917
B0006,109,3.4203,-1.7068,34.0166,0.0,0.0,2975.3,1.395164
B0006,110,3.4193,-1.7064,34.175,0.0,0.0,2974.99,1.394534
B0006,111,3.4144,-1.7053,33.9761,0.0,0.0,2966.25,1.389317
B0006,112,3.4127,-1.7046,33.8415,0.0,0.0,2956.36,1.383838
B0006,113,3.4104,-1.6986,34.1008,0.0,0.0,2956.34,1.373681
B0006,114,3.4144,-1.6982,34.3466,0.0,0.0,2956.41,1.378606
B0006,115,3.4132,-1.6971,34.2162,0.0,0.0,2947.27,1.37376
B0006,116,3.4107,-1.6959,34.0416,0.0,0.0,2937.98,1.368258
B0006,117,3.4089,-1.6953,33.8902,0.0,0.0,2929.12,1.363302
B0006,118,3.4134,-1.689,34.1168,0.0,0.0,2928.45,1.358097
B0006,119,3.4112,-1.6892,34.4905,0.0,0.0,2929.38,1.353269
B0006,120,3.4155,-1.7102,34.2374,0.0,0.0,2946.03,1.384161
B0006,121,3.423,-1.7302,34.4143,0.0,0.0,2955.44,1.405147
B0006,122,3.4148,-1.7152,34.1645,0.0,0.0,2937.62,1.378719
B0006,123,3.4144,-1.7013,33.8771,0.0,0.0,2929.08,1.368266
B0006,124,3.4092,-1.7004,33.8396,0.0,0.0,2918.38,1.357315
B0006,125,3.4119,-1.6874,33.8183,0.0,0.0,2919.81,1.352493
B0006,126,3.4094,-1.6919,33.8126,0.0,0.0,2900.42,1.34741
B0006,127,3.4082,-1.6853,33.7989,0.0,0.0,2901.38,1.337008
B0006,128,3.4074,-1.6787,33.7027,0.0,0.0,2901.19,1.331235
B0006,129,3.4086,-1.6712,33.6356,0.0,0.0,2891.64,1.32593
B0006,130,3.4048,-1.6769,33.6907,0.0,0.0,2882.91,1.321579
B0006,131,3.4081,-1.6701,33.7132,0.0,0.0,2883.26,1.321225
B0006,132,3.4092,-1.6635,33.6538,0.0,0.0,2882.97,1.315649
B0006,133,3.4111,-1.6646,33.9836,0.0,0.0,2891.66,1.320903
B0006,134,3.4167,-1.6918,33.8163,0.0,0.0,2901.25,1.347433
B0006,135,3.417,-1.6712,33.6069,0.0,0.0,2891.7,1.326013
B0006,136,3.4106,-1.6633,33.4735,0.0,0.0,2883.02,1.310119
B0006,137,3.4113,-1.6559,33.2092,0.0,0.0,2873.45,1.305216
B0006,138,3.4081,-1.6561,33.5809,0.0,0.0,2874.03,1.300406
B0006,139,3.4126,-1.6493,33.764,0.0,0.0,2874.23,1.300236
B0006,140,3.4077,-1.6481,33.57,0.0,0.0,2864.98,1.289507
B0006,141,3.4073,-1.6403,33.2721,0.0,0.0,2855.09,1.279253
B0006,142,3.4093,-1.6339,33.1274,0.0,0.0,2855.62,1.279208
B0006,143,3.4095,-1.634,33.4391,0.0,0.0,2855.59,1.274037
B0006,144,3.4103,-1.6325,33.4829,0.0,0.0,2847.44,1.274127
B0006,145,3.4093,-1.6193,33.2214,0.0,0.0,2847.36,1.263764
B0006,146,3.4094,-1.6178,32.9856,0.0,0.0,2837.33,1.258137
B0006,147,3.4039,-1.6181,32.9702,0.0,0.0,2837.28,1.25326
B0006,148,3.4066,-1.6181,33.3102,0.0,0.0,2838.51,1.253231
B0006,149,3.4096,-1.6104,33.2341,0.0,0.0,2828.33,1.248087
B0006,150,3.4094,-1.6116,33.1177,0.0,0.0,2838.26,1.253435
B0006,151,3.4195,-1.642,33.7842,0.0,0.0,2864.55,1.289805
B0006,152,3.4152,-1.6195,33.8064,0.0,0.0,2846.39,1.26354
B0006,153,3.4155,-1.6049,33.6374,0.0,0.0,2837.97,1.247976
B0006,154,3.413,-1.5916,33.582,0.0,0.0,2838.16,1.23212
B0006,155,3.4095,-1.5901,33.5625,0.0,0.0,2829.84,1.227114
B0006,156,3.4138,-1.5768,33.5111,0.0,0.0,2829.62,1.22174
B0006,157,3.4109,-1.5753,33.5368,0.0,0.0,2819.44,1.211103
B0006,158,3.4106,-1.5685,33.498,0.0,0.0,2819.58,1.205616
B0006,159,3.4097,-1.5671,33.517,0.0,0.0,2810.67,1.200894
B0006,160,3.4129,-1.5538,33.5319,0.0,0.0,2811.49,1.19059
B0006,161,3.4135,-1.5522,33.5676,0.0,0.0,2802.42,1.185179
B0006,162,3.4144,-1.5453,33.6049,0.0,0.0,2801.62,1.179671
B0006,163,3.4124,-1.5387,33.5428,0.0,0.0,2802.03,1.174595
B0006,164,3.4148,-1.517,33.4725,0.0,0.0,2793.39,1.153818
B0006,165,3.4166,-1.5239,33.5821,0.0,0.0,2793.39,1.164401
B0006,166,3.4121,-1.5238,33.6635,0.0,0.0,2792.49,1.158797
B0006,167,3.4197,-1.5391,33.7305,0.0,0.0,2802.02,1.174975
B0006,168,3.4235,-1.5427,33.8913,0.0,0.0,2820.39,1.185675
B0007,1,3.522,-1.8691,32.6249,0.0,0.0,3690.23,1.891052
B0007,2,3.5319,-1.868,32.7382,0.0,0.0,3672.34,1.880637
B0007,3,3.5344,-1.8778,32.6851,0.0,0.0,3651.64,1.880663
B0007,4,3.5349,-1.8875,32.5547,0.0,0.0,3631.56,1.880771
B0007,5,3.5345,-1.8872,32.4679,0.0,0.0,3629.17,1.879451
B0007,6,3.5412,-1.8675,32.4862,0.0,0.0,3652.28,1.8807
B0007,7,3.5412,-1.8673,32.5578,0.0,0.0,3650.83,1.879935
B0007,8,3.5495,-1.9063,32.4537,0.0,0.0,3572.45,1.881509
B0007,9,3.5503,-1.9164,32.3732,0.0,0.0,3550.59,1.869691
B0007,10,3.5481,-1.9165,32.3053,0.0,0.0,3551.25,1.870052
B0007,11,3.5484,-1.9268,32.1833,0.0,0.0,3530.25,1.870044
B0007,12,3.556,-1.937,32.3789,0.0,0.0,3491.02,1.859652
B0007,13,3.5605,-1.9471,32.2913,0.0,0.0,3470.28,1.859075
B0007,14,3.5563,-1.947,32.1478,0.0,0.0,3470.0,1.859008
